PT08.S1(CO),PT08.S2(NMHC),PT08.S4(NO2),T,RH,AH,Hour,DayOfWeek,NOx(GT)
798.0,706.0,1363.0,20.6,41.5,0.9982,5,2,61.0
1035.0,1043.0,1647.0,34.8,19.3,1.0543,17,4,149.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,13,4,521.0
883.0,518.0,962.0,3.3,84.5,0.6612,5,3,87.0
1036.0,850.0,1411.0,21.7,60.2,1.5442,0,2,141.0
932.0,752.0,1310.0,25.0,37.3,1.1614,23,0,141.0
1064.0,1055.0,1242.0,14.1,43.0,0.6883,20,6,412.0
1573.0,1343.0,1990.0,27.0,51.2,1.7928,18,5,386.0
1420.0,1430.0,2194.0,20.4,72.8,1.7198,8,3,525.0
1476.0,1663.0,2167.0,28.1,32.4,1.2173,19,0,681.0
699.0,613.0,682.0,15.0,16.3,0.2749,15,5,115.0
784.0,638.0,1412.0,21.6,45.3,1.1533,9,6,51.0
1539.0,1402.0,2018.0,23.9,57.2,1.6774,20,1,141.0
720.0,540.0,938.0,4.4,71.4,0.6024,4,1,141.0
1325.0,1027.0,1394.0,13.5,63.0,0.9686,20,3,426.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,7,2,141.0
1097.0,878.0,1140.0,4.9,80.1,0.7011,1,5,356.0
1295.0,1639.0,1013.0,11.7,36.9,0.506,11,0,164.0
848.0,639.0,929.0,9.8,45.2,0.5489,1,3,141.0
969.0,611.0,1330.0,14.8,63.3,1.0584,1,0,141.0
1042.0,1031.0,1094.0,16.1,23.4,0.4248,17,5,369.0
830.0,535.0,1184.0,13.5,48.6,0.7487,7,6,42.0
889.0,646.0,1163.0,12.0,77.4,1.0825,4,3,131.0
1555.0,1410.0,1971.0,21.7,62.9,1.6117,19,6,532.0
1011.0,725.0,1050.0,4.2,78.2,0.6506,0,2,189.0
1241.0,1254.0,1735.0,34.3,24.7,1.3154,17,0,360.0
1522.0,1331.0,2026.0,17.7,40.1,0.8048,10,2,280.0
913.0,525.0,1260.0,12.5,66.8,0.962,5,4,18.0
1216.0,1020.0,1337.0,10.0,73.2,0.8988,23,2,377.0
1130.0,860.0,1058.0,8.0,51.2,0.5516,12,6,379.0
1088.0,1035.0,1713.0,22.7,45.3,1.2299,0,6,176.0
907.0,753.0,819.0,9.7,26.8,0.3226,16,0,313.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,5,6,40.0
1425.0,1155.0,1936.0,17.8,66.8,1.346,0,5,185.0
960.0,784.0,868.0,12.0,21.9,0.3069,14,0,219.0
1097.0,875.0,1080.0,8.6,43.6,0.4887,12,5,261.0
1069.0,799.0,1211.0,12.6,67.9,0.9886,1,1,181.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,9,3,905.0
1217.0,1037.0,1167.0,13.3,38.7,0.5867,21,5,443.0
1137.0,1066.0,1151.0,4.8,53.1,0.4605,9,2,638.0
1180.0,1088.0,1662.0,29.5,33.4,1.3562,21,4,141.0
1022.0,826.0,1627.0,26.9,45.5,1.5926,23,6,82.0
923.0,811.0,1434.0,27.8,35.6,1.3116,20,2,59.0
1090.0,812.0,1213.0,12.1,65.6,0.9222,22,0,242.0
864.0,651.0,1193.0,34.5,19.3,1.0369,12,6,141.0
1311.0,1350.0,1957.0,25.8,41.9,1.3688,8,1,232.0
1095.0,886.0,1574.0,21.3,68.2,1.7127,7,6,187.0
1083.0,889.0,1734.0,27.6,52.1,1.8936,7,3,72.0
1376.0,1452.0,2123.0,18.5,68.9,1.4565,7,2,531.0
1454.0,1225.0,1809.0,17.1,42.1,0.812,11,3,299.0
1505.0,1168.0,1447.0,9.4,66.1,0.7816,0,5,567.0
1081.0,885.0,1017.0,7.2,39.4,0.4032,20,0,243.0
1090.0,942.0,1713.0,32.9,28.0,1.3789,11,4,145.0
759.0,566.0,1267.0,24.8,39.8,1.2231,3,0,141.0
1255.0,1283.0,2023.0,37.0,21.9,1.3503,18,0,203.0
968.0,920.0,991.0,10.3,32.6,0.4094,13,2,299.0
1418.0,1471.0,2064.0,27.1,42.2,1.4949,20,0,728.0
1087.0,1106.0,1839.0,32.7,25.8,1.2547,13,2,129.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,5,0,155.0
852.0,718.0,1307.0,39.3,14.5,1.0149,15,6,32.0
1610.0,1692.0,2197.0,18.5,55.9,1.1779,8,3,141.0
1086.0,1032.0,1049.0,4.7,38.3,0.3306,20,3,343.0
1067.0,879.0,989.0,8.7,33.9,0.3832,18,0,291.0
1499.0,1247.0,1972.0,15.3,56.7,0.9773,9,0,141.0
1009.0,845.0,1132.0,10.0,55.0,0.6753,14,2,263.0
857.0,769.0,1390.0,22.4,34.9,0.9362,1,5,52.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,21,2,254.0
858.0,866.0,1421.0,25.3,28.4,0.9041,22,1,69.0
1478.0,1310.0,1775.0,14.7,63.1,1.0513,8,4,633.0
1444.0,1354.0,1956.0,25.7,27.9,0.908,19,3,248.0
874.0,552.0,857.0,3.2,56.0,0.4364,6,0,121.0
806.0,567.0,878.0,9.4,45.4,0.5355,2,3,141.0
1267.0,1064.0,1766.0,17.3,58.8,1.1494,23,1,138.0
938.0,631.0,931.0,12.0,44.2,0.6177,2,6,99.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,21,3,605.0
956.0,656.0,1356.0,10.1,68.4,0.8443,5,1,76.0
902.0,689.0,838.0,4.3,41.1,0.3451,22,3,177.0
1136.0,885.0,1006.0,7.1,43.2,0.436,21,6,348.0
911.0,740.0,1412.0,14.2,56.7,0.9111,0,2,141.0
921.0,594.0,867.0,6.3,49.6,0.4787,2,4,100.0
1224.0,1046.0,1476.0,11.8,86.5,1.1981,13,5,580.0
866.0,734.0,1299.0,14.8,78.7,1.3169,2,3,109.0
889.0,710.0,1566.0,25.9,55.1,1.8117,3,2,141.0
1385.0,1045.0,1462.0,17.0,56.6,1.0902,23,3,449.0
1289.0,1104.0,1257.0,5.2,67.8,0.6028,0,6,531.0
1421.0,1202.0,1854.0,15.2,53.1,0.9117,21,4,249.0
810.0,651.0,1117.0,19.8,38.6,0.8831,9,6,107.0
1222.0,1080.0,1755.0,21.4,45.0,1.1291,10,0,201.0
1156.0,1096.0,1615.0,39.8,16.0,1.1444,13,1,125.0
1095.0,996.0,1695.0,32.7,27.7,1.3439,20,6,111.0
815.0,627.0,1518.0,23.4,61.7,1.7495,6,6,27.0
1252.0,1016.0,1593.0,16.1,34.5,0.6262,13,4,160.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,17,2,257.0
831.0,679.0,1291.0,33.8,21.9,1.1303,18,6,37.0
1067.0,995.0,1730.0,35.6,29.8,1.7045,13,4,126.0
1095.0,857.0,1075.0,8.9,49.1,0.5629,16,6,281.0
1558.0,1469.0,2281.0,18.8,52.4,1.1285,9,2,336.0
1347.0,1227.0,1627.0,21.1,44.5,1.0964,11,5,589.0
1107.0,810.0,1311.0,14.5,68.9,1.1298,23,0,229.0
1065.0,970.0,1724.0,25.7,50.7,1.6491,1,6,77.0
1152.0,1099.0,1706.0,28.5,25.8,0.9931,14,4,141.0
973.0,663.0,887.0,4.6,53.5,0.4584,2,2,154.0
765.0,609.0,1319.0,16.4,52.4,0.9709,5,0,48.0
1310.0,1194.0,1781.0,24.4,55.4,1.6712,12,4,266.0
1349.0,1236.0,1964.0,20.9,44.6,1.0872,11,2,275.0
1045.0,808.0,1421.0,16.4,47.7,0.8819,16,2,65.0
1033.0,675.0,1006.0,8.0,57.7,0.6222,18,6,173.0
695.0,709.0,717.0,12.0,14.5,0.2029,1,5,264.0
1057.0,768.0,1527.0,12.4,82.4,1.1848,3,5,141.0
1363.0,1229.0,1490.0,8.0,71.9,0.7712,10,4,754.0
1200.0,1126.0,1979.0,31.9,38.4,1.7897,20,1,141.0
1416.0,1339.0,1998.0,36.1,25.5,1.4949,19,2,165.0
876.0,605.0,1432.0,27.4,42.2,1.5177,4,4,29.0
1018.0,950.0,1636.0,28.2,36.6,1.3781,23,6,100.0
1161.0,909.0,1370.0,13.7,79.3,1.2326,22,2,355.0
1041.0,778.0,947.0,5.5,49.0,0.4471,0,5,266.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,3,2,141.0
1037.0,969.0,1728.0,27.4,37.0,1.3319,12,3,127.0
799.0,690.0,823.0,7.1,33.7,0.3417,0,1,169.0
987.0,740.0,1407.0,26.7,28.1,0.9688,11,6,54.0
1018.0,934.0,1014.0,7.3,42.2,0.4341,19,0,259.0
943.0,867.0,1314.0,14.8,57.3,0.9603,20,2,141.0
1192.0,1007.0,1604.0,16.8,44.0,0.8341,21,3,154.0
1347.0,1000.0,1490.0,18.4,60.2,1.2623,10,5,369.0
891.0,668.0,819.0,9.7,30.8,0.3716,15,5,147.0
1140.0,1072.0,1597.0,21.7,57.7,1.4766,21,2,267.0
982.0,780.0,1374.0,37.6,16.4,1.0458,18,6,39.0
885.0,567.0,872.0,13.5,39.4,0.6089,21,5,116.0
970.0,708.0,1435.0,10.2,73.4,0.9129,5,5,81.0
1043.0,962.0,1554.0,39.3,18.9,1.318,16,4,98.0
810.0,612.0,1462.0,21.3,54.5,1.3682,5,2,27.0
1144.0,821.0,1262.0,15.4,54.0,0.9385,10,6,214.0
950.0,696.0,1375.0,20.3,66.3,1.5657,2,3,141.0
951.0,880.0,1539.0,35.9,18.8,1.0912,15,4,89.0
918.0,704.0,1032.0,8.0,70.6,0.7607,3,1,141.0
1043.0,726.0,972.0,4.5,63.5,0.5411,1,6,195.0
766.0,448.0,734.0,1.0,54.7,0.3657,5,5,33.0
904.0,649.0,1157.0,12.7,72.2,1.0525,3,0,141.0
851.0,618.0,1351.0,21.1,59.9,1.4789,4,4,66.0
809.0,593.0,1277.0,18.3,65.1,1.3529,2,1,58.0
1033.0,820.0,1114.0,4.3,79.8,0.6706,9,2,360.0
1072.0,894.0,1646.0,17.1,60.4,1.1633,1,6,76.0
806.0,675.0,1414.0,23.1,39.4,1.0983,10,6,61.0
720.0,458.0,917.0,10.9,50.1,0.6519,6,0,33.0
1206.0,1049.0,1484.0,19.5,58.9,1.3195,20,5,345.0
1481.0,1359.0,1957.0,21.7,69.7,1.7872,0,3,486.0
804.0,489.0,698.0,-1.3,46.3,0.2635,5,2,77.0
882.0,516.0,959.0,3.2,82.8,0.6426,4,2,75.0
1052.0,740.0,913.0,3.3,52.2,0.4074,4,2,237.0
930.0,660.0,1321.0,20.9,62.2,1.5182,3,3,141.0
1121.0,965.0,1386.0,33.8,21.9,1.1331,12,5,141.0
1092.0,1005.0,1746.0,28.0,46.2,1.721,22,0,64.0
1610.0,1573.0,1890.0,18.0,36.0,0.7345,19,1,766.0
944.0,857.0,1463.0,35.2,22.3,1.2467,18,0,67.0
1408.0,1412.0,1608.0,11.7,55.7,0.763,11,1,811.0
1053.0,795.0,1039.0,6.8,56.4,0.5609,1,4,179.0
1071.0,787.0,1146.0,3.8,83.8,0.6771,7,3,290.0
1576.0,1458.0,2024.0,25.2,45.8,1.4464,18,3,418.0
1196.0,1131.0,1675.0,17.6,35.0,0.6965,7,0,216.0
963.0,617.0,1006.0,13.2,49.7,0.7503,4,6,85.0
965.0,659.0,1059.0,6.4,76.3,0.7389,7,4,126.0
1382.0,1200.0,1807.0,26.9,50.0,1.7507,15,3,369.0
1037.0,636.0,1024.0,7.9,66.5,0.7124,13,6,151.0
882.0,621.0,1216.0,16.6,38.6,0.7236,10,6,61.0
902.0,809.0,1355.0,14.8,79.4,1.3312,5,1,138.0
1038.0,701.0,1102.0,10.1,64.3,0.7934,7,1,185.0
1024.0,1111.0,1753.0,25.1,32.4,1.017,9,0,201.0
1640.0,1480.0,1865.0,13.8,67.0,1.0513,13,1,955.0
864.0,642.0,1255.0,16.5,36.2,0.6752,6,0,72.0
1086.0,733.0,1064.0,5.9,72.7,0.6791,0,0,140.0
1090.0,981.0,1390.0,11.8,76.1,1.0544,20,2,279.0
1478.0,1447.0,2017.0,21.2,62.2,1.5473,19,1,141.0
1522.0,1457.0,2043.0,18.8,73.0,1.5737,7,2,141.0
1513.0,1338.0,1957.0,23.0,26.8,0.7446,18,3,214.0
1168.0,954.0,1586.0,12.3,59.2,0.8461,22,1,152.0
1391.0,1249.0,1845.0,26.0,46.4,1.5414,13,2,141.0
1115.0,804.0,1220.0,14.3,59.2,0.9608,22,6,223.0
1352.0,1236.0,1659.0,17.8,53.5,1.0833,14,4,479.0
1333.0,1460.0,2231.0,24.7,55.1,1.6872,8,1,141.0
1388.0,1418.0,2250.0,38.8,24.2,1.6433,17,2,287.0
898.0,646.0,954.0,7.0,57.6,0.5784,6,3,189.0
1547.0,1532.0,1972.0,12.3,78.8,1.1279,18,2,1040.0
814.0,666.0,1311.0,17.8,67.5,1.3674,4,1,56.0
797.0,593.0,984.0,10.8,49.7,0.6429,7,0,146.0
1063.0,894.0,1688.0,27.2,41.1,1.4611,9,6,104.0
1148.0,963.0,1395.0,12.2,83.9,1.189,9,5,451.0
1283.0,844.0,1539.0,19.5,42.3,0.9493,16,5,79.0
988.0,825.0,1559.0,24.9,50.6,1.5747,1,2,71.0
1104.0,1095.0,1210.0,13.3,25.7,0.3914,15,6,246.0
1091.0,1161.0,1797.0,23.6,35.7,1.0282,19,0,210.0
1476.0,1428.0,1536.0,5.6,52.9,0.4841,10,1,1049.0
1154.0,891.0,1197.0,6.5,74.7,0.7248,22,5,304.0
850.0,562.0,1407.0,13.1,78.3,1.1716,3,0,141.0
861.0,735.0,1287.0,16.9,72.0,1.3749,0,3,99.0
1101.0,934.0,1085.0,12.6,39.9,0.5804,11,6,333.0
1050.0,1070.0,1334.0,10.6,56.9,0.7281,18,2,435.0
1377.0,1276.0,1790.0,26.0,43.8,1.4499,11,1,141.0
1113.0,954.0,1801.0,21.6,78.5,1.994,18,3,117.0
936.0,611.0,949.0,13.5,40.0,0.6168,8,6,134.0
1103.0,1232.0,1732.0,35.3,16.8,0.9448,18,2,141.0
1066.0,1004.0,1384.0,20.3,35.5,0.833,19,6,371.0
850.0,703.0,1511.0,21.2,55.0,1.3689,4,5,38.0
1140.0,1117.0,1690.0,33.2,33.8,1.69,13,1,141.0
1082.0,801.0,1035.0,8.0,52.2,0.5623,0,4,211.0
857.0,775.0,1258.0,37.3,15.4,0.9692,16,0,45.0
1474.0,1173.0,1776.0,20.4,36.7,0.8704,20,1,166.0
951.0,800.0,1257.0,16.1,69.6,1.2593,7,4,162.0
993.0,927.0,1665.0,21.5,44.5,1.129,8,0,151.0
990.0,808.0,975.0,4.6,49.7,0.4271,11,4,279.0
815.0,616.0,1532.0,23.8,61.3,1.7881,5,6,21.0
1123.0,966.0,1594.0,17.6,47.6,0.9465,2,5,91.0
926.0,815.0,945.0,18.4,19.7,0.4117,15,5,254.0
1430.0,1120.0,1783.0,22.0,34.1,0.8904,12,0,201.0
1271.0,1031.0,1138.0,5.4,51.8,0.4698,23,4,484.0
911.0,710.0,1226.0,17.5,57.1,1.1311,5,3,141.0
1095.0,772.0,1175.0,12.2,65.0,0.9193,0,1,233.0
1430.0,1025.0,1772.0,12.3,73.3,1.0442,12,2,204.0
987.0,746.0,1212.0,12.1,75.5,1.0669,19,6,281.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,18,4,166.0
1374.0,1222.0,1582.0,13.7,66.8,1.0432,16,2,602.0
1162.0,953.0,1526.0,21.7,60.8,1.563,23,5,141.0
1040.0,1015.0,1543.0,35.1,19.2,1.0664,11,5,120.0
1090.0,841.0,1202.0,8.7,77.6,0.8753,4,4,209.0
1382.0,1196.0,1543.0,10.4,74.6,0.9394,20,6,605.0
1150.0,1105.0,1450.0,12.5,71.3,1.0285,13,3,557.0
1136.0,792.0,1476.0,25.8,31.1,1.0143,14,6,141.0
875.0,594.0,793.0,4.5,48.0,0.4085,22,6,128.0
1028.0,961.0,1413.0,21.3,42.9,1.0727,10,5,141.0
1326.0,1137.0,1760.0,20.3,38.1,0.8946,9,1,225.0
1047.0,1037.0,1429.0,19.8,41.5,0.9489,18,6,141.0
692.0,507.0,811.0,10.6,34.9,0.4455,1,0,65.0
948.0,828.0,1711.0,24.4,55.2,1.6604,6,3,66.0
1713.0,1699.0,2196.0,15.4,73.0,1.2648,20,3,1020.0
1196.0,1061.0,1649.0,31.1,22.3,0.9888,14,3,116.0
851.0,440.0,918.0,3.4,85.4,0.6736,4,1,46.0
1128.0,889.0,1160.0,10.0,61.8,0.7576,22,3,296.0
823.0,579.0,778.0,13.1,31.7,0.4756,21,4,144.0
850.0,659.0,1402.0,23.5,44.0,1.2596,8,6,32.0
1361.0,1189.0,1776.0,25.6,48.3,1.5641,17,5,420.0
1155.0,722.0,1414.0,11.6,62.7,0.853,8,6,101.0
870.0,749.0,1487.0,22.2,44.1,1.1654,22,0,64.0
1225.0,1155.0,1992.0,27.3,46.4,1.6542,7,2,178.0
1149.0,914.0,1072.0,9.5,41.2,0.4908,13,5,382.0
964.0,784.0,1080.0,6.0,77.3,0.7262,6,1,282.0
1079.0,909.0,1686.0,29.2,37.8,1.5098,20,5,107.0
1473.0,1463.0,1948.0,20.6,56.0,1.3467,10,3,683.0
1165.0,1225.0,1676.0,30.8,16.4,0.7167,15,3,141.0
1735.0,1431.0,2211.0,17.8,42.9,0.8672,10,1,396.0
1189.0,1183.0,1534.0,12.0,73.3,1.0264,19,3,463.0
760.0,555.0,1158.0,13.8,67.6,1.0581,3,0,141.0
1098.0,1007.0,1546.0,41.3,13.0,1.0154,16,2,120.0
1135.0,1170.0,1523.0,32.8,18.9,0.9234,11,4,429.0
1664.0,1519.0,2312.0,20.2,48.6,1.1354,18,3,271.0
1336.0,1340.0,2049.0,21.3,63.5,1.5941,7,3,422.0
1494.0,1460.0,1682.0,21.0,28.0,0.6904,19,2,641.0
1882.0,1920.0,2609.0,23.1,61.1,1.7082,18,3,1014.0
1436.0,1154.0,1872.0,15.1,55.8,0.9486,8,5,203.0
1042.0,910.0,922.0,4.6,32.5,0.2783,10,2,438.0
809.0,624.0,1309.0,28.0,34.9,1.3008,9,5,141.0
1108.0,798.0,1144.0,11.8,56.9,0.7836,0,2,221.0
803.0,466.0,1034.0,14.8,65.5,1.0965,4,3,33.0
1505.0,1388.0,1978.0,25.8,44.8,1.4644,16,3,422.0
1426.0,1445.0,1970.0,24.0,50.0,1.4679,12,1,667.0
1333.0,1201.0,1767.0,19.6,73.2,1.6543,2,0,353.0
1059.0,810.0,1200.0,13.2,62.3,0.9392,23,2,227.0
1083.0,1157.0,1884.0,26.8,35.1,1.2201,20,1,160.0
877.0,654.0,1529.0,26.8,50.9,1.7693,5,2,141.0
1151.0,1154.0,1894.0,28.4,35.7,1.3549,21,2,151.0
1430.0,1121.0,1732.0,16.0,48.4,0.8768,21,3,178.0
1353.0,1176.0,1723.0,20.1,71.3,1.6564,0,0,318.0
825.0,489.0,1171.0,11.1,60.1,0.7925,4,1,21.0
1119.0,1056.0,1562.0,17.0,76.1,1.4582,0,1,311.0
839.0,536.0,970.0,9.3,65.9,0.7757,4,0,69.0
1016.0,977.0,1652.0,22.4,41.0,1.1006,22,4,141.0
1039.0,936.0,1499.0,21.2,59.3,1.4787,22,0,141.0
1349.0,1167.0,1443.0,12.3,48.3,0.6871,14,4,499.0
1221.0,1032.0,1630.0,19.3,35.4,0.7813,14,1,166.0
942.0,665.0,912.0,4.4,56.4,0.4761,4,4,134.0
935.0,666.0,836.0,5.6,45.5,0.4187,0,0,180.0
1917.0,1601.0,2447.0,22.5,35.4,0.9547,18,0,314.0
898.0,863.0,1493.0,20.9,39.4,0.9596,23,0,118.0
1231.0,1341.0,1937.0,30.3,25.6,1.0879,20,4,274.0
1207.0,950.0,1303.0,8.1,64.8,0.7039,13,0,368.0
851.0,551.0,1443.0,24.5,56.9,1.7225,8,6,30.0
1082.0,1266.0,1910.0,33.5,19.9,1.0112,17,0,227.0
1369.0,1305.0,1851.0,18.8,73.7,1.5785,22,1,141.0
1541.0,1185.0,1889.0,11.7,63.7,0.8719,8,1,263.0
1274.0,1160.0,1412.0,6.9,73.7,0.7348,8,1,606.0
1160.0,862.0,1320.0,21.6,39.6,1.009,13,0,259.0
1193.0,1136.0,1924.0,25.7,41.0,1.3351,9,4,245.0
1336.0,1043.0,1678.0,6.5,71.6,0.6945,8,5,256.0
1231.0,1304.0,2029.0,15.9,53.1,0.9529,8,3,203.0
1516.0,1596.0,2183.0,18.3,67.8,1.4091,8,2,141.0
838.0,868.0,1454.0,30.1,18.5,0.7747,13,0,66.0
1051.0,798.0,1455.0,9.0,76.7,0.8825,1,3,84.0
923.0,733.0,1124.0,6.8,87.1,0.8652,11,2,316.0
942.0,852.0,1318.0,21.4,22.7,0.5722,15,5,89.0
852.0,919.0,831.0,14.8,14.3,0.2397,12,5,363.0
983.0,897.0,1608.0,32.7,34.1,1.6592,11,0,42.0
1182.0,947.0,1334.0,13.2,64.5,0.9732,22,2,333.0
1195.0,1026.0,1342.0,12.0,60.8,0.852,20,1,141.0
1043.0,843.0,1628.0,37.8,26.3,1.6951,12,5,64.0
891.0,714.0,1295.0,22.3,47.7,1.2643,1,1,82.0
1236.0,1304.0,1868.0,25.8,26.7,0.8758,19,3,141.0
1228.0,1170.0,1375.0,12.6,54.0,0.784,10,5,567.0
1085.0,959.0,1747.0,27.7,40.6,1.4828,22,5,75.0
1517.0,1460.0,2205.0,16.4,51.3,0.9474,7,4,296.0
940.0,845.0,1539.0,21.6,51.9,1.3254,2,5,57.0
894.0,709.0,1432.0,24.0,37.8,1.1077,5,2,46.0
1058.0,894.0,1648.0,33.9,34.1,1.7754,13,2,84.0
1100.0,854.0,1075.0,1.8,73.7,0.5198,7,4,401.0
1458.0,1090.0,1383.0,10.7,65.0,0.8378,12,5,436.0
1035.0,961.0,985.0,7.9,28.0,0.2999,18,0,374.0
832.0,496.0,1066.0,14.2,36.1,0.5823,3,2,141.0
1636.0,1168.0,1926.0,13.8,58.2,0.9129,7,2,207.0
1121.0,1026.0,1541.0,21.5,27.4,0.6941,12,3,122.0
946.0,767.0,1443.0,28.2,36.6,1.3722,23,0,57.0
1366.0,997.0,1673.0,18.5,48.9,1.0323,20,6,141.0
841.0,713.0,1330.0,19.2,39.7,0.8728,9,5,73.0
1277.0,1085.0,1329.0,5.4,82.6,0.7495,0,5,567.0
1362.0,1334.0,1862.0,20.3,54.0,1.2744,15,0,141.0
1222.0,1239.0,1346.0,2.4,60.2,0.4426,9,0,614.0
1100.0,1018.0,1573.0,18.3,67.5,1.4044,7,0,141.0
967.0,826.0,1639.0,24.0,57.2,1.6835,7,5,68.0
1335.0,1496.0,2385.0,21.9,49.9,1.2957,8,3,300.0
1254.0,1241.0,1463.0,28.2,24.8,0.936,20,2,420.0
1056.0,878.0,1308.0,18.3,51.6,1.0732,18,5,244.0
1448.0,1288.0,1506.0,15.8,50.1,0.892,12,3,870.0
992.0,970.0,1624.0,18.5,42.8,0.9026,11,3,135.0
1159.0,1110.0,1650.0,17.6,60.8,1.2151,7,1,492.0
1347.0,1237.0,1984.0,16.0,59.3,1.0711,8,3,264.0
1280.0,1029.0,1366.0,11.4,69.6,0.9373,1,2,399.0
982.0,849.0,1390.0,14.5,78.3,1.288,22,4,141.0
1292.0,1221.0,1437.0,6.7,83.2,0.819,1,3,743.0
1148.0,1104.0,1713.0,21.0,37.9,0.9313,9,4,258.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,6,4,183.0
1510.0,1282.0,1726.0,19.4,47.5,1.061,10,2,584.0
1143.0,1083.0,1887.0,17.2,62.9,1.2228,11,2,190.0
1112.0,936.0,1792.0,26.7,58.0,2.0023,7,4,141.0
777.0,645.0,1334.0,20.5,42.3,1.0091,4,2,39.0
1086.0,850.0,1072.0,8.9,45.5,0.5208,14,3,233.0
1126.0,979.0,1700.0,31.9,25.8,1.2023,12,5,110.0
1032.0,940.0,1703.0,30.1,30.9,1.2958,12,2,102.0
1079.0,727.0,1275.0,16.5,63.8,1.1896,1,6,174.0
854.0,788.0,1310.0,35.8,13.4,0.7749,18,6,60.0
975.0,670.0,910.0,6.9,48.7,0.4874,0,4,129.0
1205.0,925.0,1547.0,15.5,52.9,0.9271,0,2,132.0
1049.0,994.0,1580.0,39.5,15.6,1.102,14,0,139.0
1175.0,1074.0,1134.0,13.1,25.4,0.3814,17,6,537.0
1133.0,984.0,1897.0,26.6,47.6,1.6315,16,5,110.0
919.0,737.0,1534.0,25.1,55.7,1.7471,1,5,49.0
1153.0,1022.0,1806.0,26.1,42.2,1.4039,21,5,84.0
815.0,584.0,1363.0,24.5,50.9,1.5416,3,2,141.0
929.0,698.0,1307.0,15.4,78.1,1.3557,2,6,141.0
1225.0,985.0,1255.0,7.2,69.5,0.7084,21,5,464.0
1712.0,1239.0,1488.0,9.9,63.2,0.7706,0,6,671.0
1288.0,956.0,1272.0,9.0,70.8,0.8173,9,5,340.0
995.0,800.0,1501.0,34.6,28.3,1.5338,10,2,141.0
1351.0,1210.0,1783.0,19.3,35.4,0.7824,13,3,195.0
814.0,482.0,1027.0,14.5,62.9,1.0335,6,3,57.0
988.0,679.0,911.0,12.8,31.9,0.4684,16,5,144.0
1440.0,1312.0,1657.0,9.6,80.8,0.9687,8,0,760.0
879.0,642.0,836.0,2.5,51.0,0.3778,10,5,140.0
868.0,639.0,1367.0,20.4,63.0,1.4946,5,4,109.0
1162.0,1170.0,1131.0,14.1,18.2,0.2908,16,0,503.0
1254.0,840.0,1602.0,26.1,66.8,2.231,16,6,141.0
1266.0,1118.0,1410.0,14.0,56.3,0.894,15,3,380.0
1094.0,815.0,1563.0,21.4,46.6,1.1764,21,6,74.0
1040.0,836.0,1423.0,20.3,62.5,1.472,1,4,111.0
906.0,885.0,1304.0,13.5,59.4,0.9176,3,6,141.0
788.0,514.0,771.0,3.9,47.7,0.3901,0,2,63.0
1047.0,1101.0,1391.0,29.2,9.8,0.3914,12,1,159.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,20,3,1253.0
1246.0,1093.0,1942.0,31.6,39.4,1.7969,10,3,261.0
1161.0,904.0,1502.0,14.3,55.4,0.8975,1,3,92.0
1096.0,826.0,1285.0,13.0,79.2,1.182,0,6,378.0
1008.0,900.0,1681.0,21.6,53.6,1.3674,23,5,55.0
1023.0,898.0,1034.0,10.7,33.1,0.4256,15,0,256.0
872.0,617.0,1456.0,27.2,47.2,1.6803,5,1,77.0
899.0,803.0,1426.0,22.4,31.3,0.8365,18,5,87.0
1130.0,773.0,1452.0,12.1,61.1,0.8603,4,6,70.0
1442.0,1337.0,2004.0,15.3,46.8,0.8074,18,1,243.0
1351.0,1226.0,1649.0,13.0,76.0,1.1317,9,1,420.0
925.0,645.0,930.0,14.3,38.0,0.6162,20,5,167.0
1239.0,1373.0,1593.0,7.1,62.0,0.6265,9,1,141.0
1102.0,994.0,1599.0,21.3,28.1,0.7067,13,0,107.0
1028.0,854.0,1561.0,29.5,39.0,1.5868,10,6,141.0
1054.0,794.0,1282.0,13.5,78.3,1.2097,23,5,235.0
876.0,505.0,1294.0,15.5,56.9,0.9961,3,0,141.0
877.0,711.0,1475.0,21.7,52.0,1.3313,5,5,41.0
1002.0,932.0,1405.0,15.2,31.0,0.5329,7,1,101.0
1160.0,957.0,1637.0,24.5,32.3,0.9815,17,6,131.0
991.0,759.0,1440.0,23.5,61.3,1.7538,3,6,141.0
1360.0,1063.0,1483.0,16.2,53.0,0.9722,19,5,387.0
1147.0,886.0,1056.0,2.2,65.3,0.473,7,1,417.0
1049.0,907.0,1038.0,3.9,55.9,0.4568,1,0,297.0
981.0,649.0,901.0,12.4,34.9,0.5002,15,5,141.0
1312.0,1177.0,1588.0,13.7,70.9,1.1076,10,1,439.0
1162.0,1151.0,1912.0,31.9,30.6,1.4201,20,0,116.0
